station_id,station_nid,forecast_issue_datetime,forecast_issue_date,target_datetime,target_date,lead_hours,forecast_level_raw,forecast_level_cm,forecast_available,availability_source,html_value_raw,xml_html_match,capture_datetime_utc,capture_datetime_local,forecast_run_hash,first_seen_at,last_seen_at,quality_flag
03013570-89c3-468d-929e-389aa605e929,95,2026-08-02T03:00:00+03:00,2026-08-02,2026-08-07T03:00:00+03:00,2026-08-07,120,-101,-101,True,xml_with_html_mismatch,-104,False,2026-08-03T14:01:46Z,2026-08-03T17:01:46+03:00,14d35a6906363826513894a2bd21a813e30bb646e7e199d86e496d793eea0b65,2026-08-03T14:01:46Z,2026-08-03T14:01:46Z,xml_html_value_mismatch
03013570-89c3-468d-929e-389aa605e929,95,2026-08-02T03:00:00+03:00,2026-08-02,2026-08-03T03:00:00+03:00,2026-08-03,24,-88,-88,True,xml_with_html_mismatch,-92,False,2026-08-03T14:01:46Z,2026-08-03T17:01:46+03:00,14d35a6906363826513894a2bd21a813e30bb646e7e199d86e496d793eea0b65,2026-08-03T14:01:46Z,2026-08-03T14:01:46Z,xml_html_value_mismatch
03013570-89c3-468d-929e-389aa605e929,95,2026-08-02T03:00:00+03:00,2026-08-02,2026-08-04T03:00:00+03:00,2026-08-04,48,-92,-92,True,xml_with_html_mismatch,-95,False,2026-08-03T14:01:46Z,2026-08-03T17:01:46+03:00,14d35a6906363826513894a2bd21a813e30bb646e7e199d86e496d793eea0b65,2026-08-03T14:01:46Z,2026-08-03T14:01:46Z,xml_html_value_mismatch
03013570-89c3-468d-929e-389aa605e929,95,2026-08-02T03:00:00+03:00,2026-08-02,2026-08-05T03:00:00+03:00,2026-08-05,72,-95,-95,True,xml_with_html_mismatch,-98,False,2026-08-03T14:01:46Z,2026-08-03T17:01:46+03:00,14d35a6906363826513894a2bd21a813e30bb646e7e199d86e496d793eea0b65,2026-08-03T14:01:46Z,2026-08-03T14:01:46Z,xml_html_value_mismatch
03013570-89c3-468d-929e-389aa605e929,95,2026-08-02T03:00:00+03:00,2026-08-02,2026-08-06T03:00:00+03:00,2026-08-06,96,-99,-99,True,xml_with_html_mismatch,-101,False,2026-08-03T14:01:46Z,2026-08-03T17:01:46+03:00,14d35a6906363826513894a2bd21a813e30bb646e7e199d86e496d793eea0b65,2026-08-03T14:01:46Z,2026-08-03T14:01:46Z,xml_html_value_mismatch
03013570-89c3-468d-929e-389aa605e929,95,2026-08-04T03:00:00+03:00,2026-08-04,2026-08-09T03:00:00+03:00,2026-08-09,120,-103,-103,True,xml_html_confirmed,-103,True,2026-08-05T07:00:07Z,2026-08-05T10:00:07+03:00,41a4c5d2fadd82e4bd7f91bd22ce77cf3a2663cd485267b113bf8a87e8b7434c,2026-08-04T12:07:23Z,2026-08-05T07:00:07Z,valid
03013570-89c3-468d-929e-389aa605e929,95,2026-08-04T03:00:00+03:00,2026-08-04,2026-08-05T03:00:00+03:00,2026-08-05,24,-95,-95,True,xml_html_confirmed,-95,True,2026-08-05T07:00:07Z,2026-08-05T10:00:07+03:00,41a4c5d2fadd82e4bd7f91bd22ce77cf3a2663cd485267b113bf8a87e8b7434c,2026-08-04T12:07:23Z,2026-08-05T07:00:07Z,valid
03013570-89c3-468d-929e-389aa605e929,95,2026-08-04T03:00:00+03:00,2026-08-04,2026-08-06T03:00:00+03:00,2026-08-06,48,-98,-98,True,xml_html_confirmed,-98,True,2026-08-05T07:00:07Z,2026-08-05T10:00:07+03:00,41a4c5d2fadd82e4bd7f91bd22ce77cf3a2663cd485267b113bf8a87e8b7434c,2026-08-04T12:07:23Z,2026-08-05T07:00:07Z,valid
03013570-89c3-468d-929e-389aa605e929,95,2026-08-04T03:00:00+03:00,2026-08-04,2026-08-07T03:00:00+03:00,2026-08-07,72,-100,-100,True,xml_html_confirmed,-100,True,2026-08-05T07:00:07Z,2026-08-05T10:00:07+03:00,41a4c5d2fadd82e4bd7f91bd22ce77cf3a2663cd485267b113bf8a87e8b7434c,2026-08-04T12:07:23Z,2026-08-05T07:00:07Z,valid
03013570-89c3-468d-929e-389aa605e929,95,2026-08-04T03:00:00+03:00,2026-08-04,2026-08-08T03:00:00+03:00,2026-08-08,96,-101,-101,True,xml_html_confirmed,-101,True,2026-08-05T07:00:07Z,2026-08-05T10:00:07+03:00,41a4c5d2fadd82e4bd7f91bd22ce77cf3a2663cd485267b113bf8a87e8b7434c,2026-08-04T12:07:23Z,2026-08-05T07:00:07Z,valid
