record_type,station_id,display_name,datetime,date,lead_hours,level_cm,variation_cm_24h,water_temperature_c,quality_flag
observation,b5ab6a64-d495-4137-b6a3-4c98d96836c9,Corabia,2026-08-03T03:00:00+03:00,2026-08-03,,-127,-1,27.5,valid
observation,b5ab6a64-d495-4137-b6a3-4c98d96836c9,Corabia,2026-08-04T03:00:00+03:00,2026-08-04,,-129,-2,27.5,valid
observation,b5ab6a64-d495-4137-b6a3-4c98d96836c9,Corabia,2026-08-05T03:00:00+03:00,2026-08-05,,-131,-2,27.5,valid
observation,b5ab6a64-d495-4137-b6a3-4c98d96836c9,Corabia,2026-08-06T03:00:00+03:00,2026-08-06,,-134,-3,28,valid
observation,b5ab6a64-d495-4137-b6a3-4c98d96836c9,Corabia,2026-08-07T03:00:00+03:00,2026-08-07,,-136,-2,28,valid
forecast,b5ab6a64-d495-4137-b6a3-4c98d96836c9,Corabia,2026-08-07T03:00:00+03:00,2026-08-07,120,-142,,,xml_html_value_mismatch
forecast,b5ab6a64-d495-4137-b6a3-4c98d96836c9,Corabia,2026-08-03T03:00:00+03:00,2026-08-03,24,-129,,,xml_html_value_mismatch
forecast,b5ab6a64-d495-4137-b6a3-4c98d96836c9,Corabia,2026-08-04T03:00:00+03:00,2026-08-04,48,-133,,,xml_html_value_mismatch
forecast,b5ab6a64-d495-4137-b6a3-4c98d96836c9,Corabia,2026-08-05T03:00:00+03:00,2026-08-05,72,-136,,,xml_html_value_mismatch
forecast,b5ab6a64-d495-4137-b6a3-4c98d96836c9,Corabia,2026-08-06T03:00:00+03:00,2026-08-06,96,-139,,,xml_html_value_mismatch
forecast,b5ab6a64-d495-4137-b6a3-4c98d96836c9,Corabia,2026-08-09T03:00:00+03:00,2026-08-09,120,-141,,,valid
forecast,b5ab6a64-d495-4137-b6a3-4c98d96836c9,Corabia,2026-08-05T03:00:00+03:00,2026-08-05,24,-133,,,valid
forecast,b5ab6a64-d495-4137-b6a3-4c98d96836c9,Corabia,2026-08-06T03:00:00+03:00,2026-08-06,48,-136,,,valid
forecast,b5ab6a64-d495-4137-b6a3-4c98d96836c9,Corabia,2026-08-07T03:00:00+03:00,2026-08-07,72,-139,,,valid
forecast,b5ab6a64-d495-4137-b6a3-4c98d96836c9,Corabia,2026-08-08T03:00:00+03:00,2026-08-08,96,-140,,,valid
forecast,b5ab6a64-d495-4137-b6a3-4c98d96836c9,Corabia,2026-08-10T03:00:00+03:00,2026-08-10,120,-139,,,valid
forecast,b5ab6a64-d495-4137-b6a3-4c98d96836c9,Corabia,2026-08-06T03:00:00+03:00,2026-08-06,24,-134,,,valid
forecast,b5ab6a64-d495-4137-b6a3-4c98d96836c9,Corabia,2026-08-07T03:00:00+03:00,2026-08-07,48,-136,,,valid
forecast,b5ab6a64-d495-4137-b6a3-4c98d96836c9,Corabia,2026-08-08T03:00:00+03:00,2026-08-08,72,-137,,,valid
forecast,b5ab6a64-d495-4137-b6a3-4c98d96836c9,Corabia,2026-08-09T03:00:00+03:00,2026-08-09,96,-138,,,valid
forecast,b5ab6a64-d495-4137-b6a3-4c98d96836c9,Corabia,2026-08-11T03:00:00+03:00,2026-08-11,120,-140,,,valid
forecast,b5ab6a64-d495-4137-b6a3-4c98d96836c9,Corabia,2026-08-07T03:00:00+03:00,2026-08-07,24,-137,,,valid
forecast,b5ab6a64-d495-4137-b6a3-4c98d96836c9,Corabia,2026-08-08T03:00:00+03:00,2026-08-08,48,-138,,,valid
forecast,b5ab6a64-d495-4137-b6a3-4c98d96836c9,Corabia,2026-08-09T03:00:00+03:00,2026-08-09,72,-138,,,valid
forecast,b5ab6a64-d495-4137-b6a3-4c98d96836c9,Corabia,2026-08-10T03:00:00+03:00,2026-08-10,96,-139,,,valid
forecast,b5ab6a64-d495-4137-b6a3-4c98d96836c9,Corabia,2026-08-12T03:00:00+03:00,2026-08-12,120,-138,,,valid
forecast,b5ab6a64-d495-4137-b6a3-4c98d96836c9,Corabia,2026-08-08T03:00:00+03:00,2026-08-08,24,-137,,,valid
forecast,b5ab6a64-d495-4137-b6a3-4c98d96836c9,Corabia,2026-08-09T03:00:00+03:00,2026-08-09,48,-137,,,valid
forecast,b5ab6a64-d495-4137-b6a3-4c98d96836c9,Corabia,2026-08-10T03:00:00+03:00,2026-08-10,72,-137,,,valid
forecast,b5ab6a64-d495-4137-b6a3-4c98d96836c9,Corabia,2026-08-11T03:00:00+03:00,2026-08-11,96,-137,,,valid
